card_number,name,date,amount,description,transaction_number
237733237,Ursache Marcolina,2022-01-09 14:42:56,50000,,52N717QE7GW
313060840,Lombardi Dante,2022-01-25 07:04:20,20000,Cost 517436,OBZP2NW891W
432740262,Mackay Arlex,2022-01-21 11:00:30,10000,Cost 527438,N8NGP1BDBBK
288888366,Iradier Ramses,2022-01-12 16:19:10,40000,533916,P8GMNMND47U
523355623,Herrerias Mariel,2022-01-03 16:20:57,10000,556158,KY7OMH4JRFO
425236565,Guarnido Hakan,2022-01-28 19:51:49,40000,,OZ91NDC7BO2
915867337,Zuñeda Touria,2022-01-12 09:30:13,50000,560983,DZ79V2UJGWD
285723955,Jano Medou,2022-01-23 15:52:06,30000,567063,A55XULVZJIT
596313392,Maudes Banta,2022-01-17 09:46:34,40000,Cost 575004,QESVZZ92NZY
406034179,Alcain Alexandru,2022-01-21 09:57:38,40000,580984,OYJYMOKAXRS
374591295,Zotes Prudenci,2022-01-25 21:09:46,50000,594686,RYDNM8H1Q3P
169456808,Martagon Edgardo,2022-01-10 16:25:29,50000,599184,LC4ZDZOX1TL
243240942,Goirigolzarri Eustorgio,2022-01-22 09:33:15,20000,,7JVKE9X74JP
375539061,Fumanal Judi,2022-01-05 19:52:23,20000,Cost 609762,R25OJ5ITBO1
668776266,Pi Kundalini,2022-01-05 23:58:08,20000,,JTQTBUBXKYB
925889903,Yaya Salwa,2022-01-01 16:03:35,20000,Cost 652290,I68R1MFZR73
897652299,Mohr Abdelrahman,2022-01-18 02:10:41,50000,Cost 659705,73GKOYIO8KI
441511996,Lahera Monserrat,2022-01-12 03:42:22,50000,666553,17R1DENKNFV
219312437,Ara Ernesto,2022-01-25 01:57:43,10000,675775,8D82RSSOA3I
176923754,Pereila Jamileth,2022-01-06 01:04:15,50000,679739,ALTR7V2DOVQ
595424278,Rafecas Aiju,2022-01-23 07:00:17,20000,,ANU4BFHT5H7
707130919,Yahya Montaas,2022-01-06 22:15:31,20000,711545,L42INOZT3MJ
565179248,Mecinas Bouarfa,2022-01-04 00:42:41,20000,,V1PLKXELCFA
518990192,Cabre Anna,2022-01-06 22:11:40,50000,Cost 719619,YGP4B9RMYPD
420233678,Kristensen Celso,2022-01-08 23:20:46,40000,747033,V1PAH5RIFI8
424134227,Chunga Genma,2022-01-02 00:09:54,30000,Cost 761040,KB92LI9N86S
224863781,Canive Ianire,2022-01-14 05:41:20,10000,Cost 767553,4X5KUA2L39S
900385749,De Medina Rosario,2022-01-11 03:20:24,30000,Cost 784794,R6VFY6AVSTA
277334577,Gou Yassmine,2022-01-14 14:01:16,30000,,XL3D3BFSIQS
165934302,Bano Weam,2022-01-01 07:16:05,30000,792520,CARYZMNIR6T
607412090,Saavedra Henk,2022-01-23 09:40:29,40000,Cost 794175,PCBLSZLGVDE
290275379,Poggio Angelberto,2022-01-10 22:04:19,50000,848605,9P2XTRROS3E
406895153,Velikov Eufracia,2022-01-29 07:27:11,20000,,P4K38ULQZ9M
262684584,Bader Catalin,2022-01-15 11:53:22,50000,Cost 872767,RQB8SKY2K7B
224460868,Gurrutxaga Reinel,2022-01-24 10:37:45,10000,880733,LLL2RETEXHA
893827238,Gilar Stephani,2022-01-25 12:10:34,20000,Cost 885956,9I141CPFZBE
135022952,Smart Anatoliy,2022-01-05 04:48:53,50000,891053,Z9PU886YD7K
723978449,Cuervo Arango M'Hand,2022-01-13 20:11:44,10000,Cost 918922,IB6CH95XBVJ
551434056,Siquier Mendia,2022-01-23 12:06:30,20000,919415,J9EOMNDDVTD
238852508,Rayo Guomin,2022-01-29 05:25:22,20000,Cost 927507,PJ5CBW5337N
609631768,Rubianes Rosemeire,2022-01-19 16:58:49,10000,Cost 942956,LXWSR6UQEHV
870245021,Cachafeiro Arnoldo,2022-01-01 16:33:02,10000,945415,LZUFTSWIACU
167120667,Cuichan Aridai,2022-01-12 03:57:06,50000,,D6KTFJ68AHL
